YEAR;EQ_PRIMARY;INTENSITY;COUNTRY;LATITUDE;LONGITUDE;DEATHS
-2150;7.3;0;JORDAN;31.1;35.5;0
-2000;0;10;SYRIA;35.683;35.8;0
-2000;7.1;10;TURKMENISTAN;38;58.2;1
-1610;0;0;GREECE;36.4;25.4;0
-1566;0;10;ISRAEL;31.5;35.3;0
-1450;0;10;ITALY;35.5;25.5;0
-1365;0;0;SYRIA;35.683;35.8;0
-1250;6.5;0;ISRAEL;32;35.5;0
-1050;6.2;0;JORDAN;29.6;35;0
-759;0;11;ISRAEL;33;35.5;0
-590;0;0;LEBANON;33.27;35.22;0
-550;0;10;GREECE;37;22.5;0
-525;0;0;LEBANON;33.56;35.37;0
-480;0;0;GREECE;37.9;23.5;0
-479;7;9;GREECE;39.7;23.3;0
-432;0;0;GREECE;37;22.5;0
-426;7.1;10;GREECE;38.9;22.7;2500
-400;7.6;0;IRAN;35.5;51.8;0
-373;7.3;11;GREECE;38.25;22.25;0
-364;0;0;ITALY;35;25;0
-330;7;11;GREECE;40;25;0
-326;0;0;INDIA;23;71;0
-282;0;0;GREECE;38.5;22.5;0
-282;0;10;TURKEY;41;27;0
-250;6.7;9;KYRGYZSTAN;42.7;77.5;0
-227;7.2;10;GREECE;36.3;28.3;0
-221;0;7;EGYPT;29.2;25.5;0
-218;0;0;SPAIN;36.2;-7.17;0
-217;0;0;ITALY;44.3;8.5;0
-210;0;0;PORTUGAL;36;-10.5;0
-198;0;0;GREECE;36.404;25.396;0
-193;6.5;0;CHINA;35.4;103.9;0
-186;7;0;CHINA;33.8;105.6;760
-70;7;9;CHINA;36.3;119;6000
-63;6.4;8;RUSSIA;45.2;36.6;0
-60;6.7;9;PORTUGAL;36;-10;0
-58;6.6;0;ALBANIA;41.3;19.5;0
-50;5.5;8;GEORGIA;43;41;0
-50;0;0;BULGARIA;43.5;28.5;0
-47;0;9;CHINA;34.9;104.7;0
-33;0;9;ISRAEL;31.2;34.2;30000
-31;7;0;ISRAEL;32;35.5;0
-27;0;0;EGYPT;25.7;32.7;0
-26;5.5;7;CHINA;28.8;104.6;13
-26;0;9;CYPRUS;35;33;0
-15;0;0;CYPRUS;35.2;34;0
10;7.1;10;TURKMENISTAN;38;58.3;0
11;0;10;TURKEY;37.8;27.4;0
17;0;10;TURKEY;37.85;27.3;0
23;0;10;GREECE;38.2;22.2;0
25;0;0;PAKISTAN;33;72;0
27;6.3;8;SOUTH KOREA;35.9;126.5;0
29;0;10;TURKEY;40.5;28.9;0
33;0;0;ISRAEL;31.8;35.2;0
37;0;0;TURKEY;36.1;36.1;0
46;6.5;8;CHINA;33;112.5;0
50;0;0;AFGHANISTAN;37;68.5;0
52;0;9;TURKEY;36.1;36.1;0
52;0;0;GREECE;41;24.3;0
55;0;10;GREECE;35;25;0
57;0;10;ALBANIA;41.2;19.3;0
60;0;9;TURKEY;37.9;29.2;0
62;6.9;9;GREECE;35.2;25.1;0
63;0;10;ITALY;40.7;14.5;0
76;0;10;CYPRUS;34.8;32;0
79;0;10;ITALY;40.821;14.426;0
