x,y,z
-7.69E-01,-0.5,1.23E+00
-7.67E-01,-0.5,1.22438
-7.65E-01,-0.5,1.22E+00
-7.63E-01,-0.5,1.22131
-7.61E-01,-0.5,1.21945
-0.759085,-0.5,1.22E+00
-0.757608,-0.5,1.22E+00
-7.56E-01,-0.5,1.21279
-0.755402,-0.5,1.2103
-0.754699,-0.5,1.21E+00
-0.754273,-0.5,1.21E+00
-7.54E-01,-0.5,1.20242
-0.754273,-0.5,1.19975
-7.55E-01,-0.5,1.19711
-0.755402,-0.5,1.19E+00
-0.756375,-0.5,1.19204
-0.757608,-0.5,1.19E+00
-7.59E-01,-0.5,1.18744
-0.760791,-0.5,1.18538
-7.63E-01,-0.5,1.18352
-0.764809,-0.5,1.18E+00
-0.767075,-0.5,1.18045
-0.769479,-0.5,1.17928
-7.72E-01,-0.5,1.17837
-0.77459,-0.5,1.17774
-0.777239,-0.5,1.17738
-7.80E-01,-0.5,1.18E+00
-0.782575,-0.5,1.17753
-0.785202,-0.5,1.17802
-7.88E-01,-0.5,1.17879
-0.790224,-0.5,1.17983
-0.792562,-0.5,1.18113
-0.794749,-0.5,1.18E+00
-7.97E-01,-0.5,1.18442
-0.798574,-0.5,1.18639
-8.00E-01,-0.5,1.18853
-0.801525,-0.5,1.19084
-0.80263,-0.5,1.19327
-0.803469,-0.5,1.19581
-0.804034,-0.5,1.19842
-0.804318,-0.5,1.20E+00
-0.804318,-0.5,1.20E+00
-0.804034,-0.5,1.20641
-0.803469,-0.5,1.20902
-0.80263,-0.5,1.21156
-0.801525,-0.5,1.21399
-0.800168,-0.5,1.2163
-7.99E-01,-0.5,1.21844
-0.796761,-0.5,1.22041
-0.794749,-0.5,1.22217
-0.792562,-0.5,1.2237
-7.90E-01,-0.5,1.225
-0.787761,-0.5,1.22604
-0.785202,-0.5,1.23E+00
-0.782575,-0.5,1.22731
-0.779911,-0.5,1.22752
-0.777239,-0.5,1.22745
-0.77459,-0.5,1.22709
-0.771993,-0.5,1.22646
-7.59E-01,-0.6,1.25E+00
-0.754323,-0.6,1.2474
-7.50E-01,-0.6,1.2445
-0.745377,-0.6,1.24112
-0.741455,-0.6,1.2373
-0.737961,-0.6,1.23309
-0.734935,-0.6,1.22852
-0.732411,-0.6,1.22367
-7.30E-01,-0.6,1.21857
-0.728977,-0.6,1.21E+00
-0.728107,-0.6,1.21E+00
-0.727815,-0.6,1.20242
-0.728107,-0.6,1.19695
-0.728977,-0.6,1.19155
-0.730418,-0.6,1.18626
-0.732411,-0.6,1.18117
-7.35E-01,-0.6,1.18E+00
-0.737961,-0.6,1.17175
-0.741455,-0.6,1.16753
-0.745377,-0.6,1.16371
-0.749683,-0.6,1.16033
-0.754323,-0.6,1.15743
-0.759246,-0.6,1.15504
-0.764396,-0.6,1.15E+00
-0.769714,-0.6,1.15E+00
-0.775139,-0.6,1.15115
-0.780612,-0.6,1.15101
-0.786068,-0.6,1.15144
-0.791448,-0.6,1.15246
-0.796689,-0.6,1.15404
-0.801732,-0.6,1.15617
-0.806521,-0.6,1.15882
-8.11E-01,-0.6,1.16197
-0.81512,-0.6,1.16557
-0.818833,-0.6,1.17E+00
-0.822098,-0.6,1.17399
-0.824877,-0.6,1.1787
-0.827139,-0.6,1.18369
-0.828858,-0.6,1.18889
-0.830015,-0.6,1.19424
-0.830597,-0.6,1.20E+00
-8.31E-01,-0.6,1.20515
-0.830015,-0.6,1.2106
-0.828858,-0.6,1.21595
-0.827139,-0.6,1.22114
-0.824877,-0.6,1.22613
-0.822098,-0.6,1.23085
-0.818833,-0.6,1.23524
-8.15E-01,-0.6,1.24E+00
-0.811,-0.6,1.24287
-0.806521,-0.6,1.24601
-0.801732,-0.6,1.24867
-0.796689,-0.6,1.25079
-0.791448,-0.6,1.25237
-0.786068,-0.6,1.25339
-7.81E-01,-0.6,1.25383
-0.775139,-0.6,1.25E+00
-0.769714,-0.6,1.25295
-0.764396,-0.6,1.25165
-0.749014,-0.7,1.27404
-0.741572,-0.7,1.27042
-0.734557,-0.7,1.26603
-0.728048,-0.7,1.26E+00
-0.722119,-0.7,1.25515
-7.17E-01,-0.7,1.24878
-0.712263,-0.7,1.24188
-0.708447,-0.7,1.23454
-0.705433,-0.7,1.22683
-0.703256,-0.7,1.21885
-7.02E-01,-0.7,1.21068
-0.7015,-0.7,1.20242
-0.70194,-0.7,1.19415
-0.703256,-0.7,1.19E+00
-0.705433,-0.7,1.178
-0.708447,-0.7,1.17029
-0.712263,-0.7,1.16295
-0.716837,-0.7,1.16E+00
-0.722119,-0.7,1.14968
-0.728048,-0.7,1.14391
-0.734557,-0.7,1.1388
-7.42E-01,-0.7,1.13441
-0.749014,-0.7,1.13079
-0.756799,-0.7,1.12798
-7.65E-01,-0.7,1.12602
-0.77304,-0.7,1.12492
-0.781312,-0.7,1.1247
-0.789561,-0.7,1.12536
-0.797693,-0.7,1.12689
-0.805616,-0.7,1.13E+00
-0.81324,-0.7,1.13E+00
-0.820479,-0.7,1.13651
-0.827251,-0.7,1.14127
-0.833479,-0.7,1.14672
-0.839092,-0.7,1.1528
-0.844027,-0.7,1.15944
-0.848228,-0.7,1.16657
-8.52E-01,-0.7,1.17411
-0.854246,-0.7,1.18196
-8.56E-01,-0.7,1.19005
-0.856875,-0.7,1.19828
-0.856875,-0.7,1.20655
-8.56E-01,-0.7,1.21478
-0.854246,-0.7,1.22287
-0.851647,-0.7,1.23073
-0.848228,-0.7,1.24E+00
-0.844027,-0.7,1.24539
-0.839092,-0.7,1.25204
-0.833478,-0.7,1.26E+00
-0.827251,-0.7,1.26357
-0.820479,-0.7,1.26832
-0.81324,-0.7,1.27233
-0.805616,-0.7,1.27555
-7.98E-01,-0.7,1.27794
-0.789561,-0.7,1.27947
-0.781312,-0.7,1.28013
-0.77304,-0.7,1.27991
-7.65E-01,-0.7,1.27881
-0.756799,-0.7,1.27685
-0.738782,-0.8,1.29829
-7.29E-01,-0.8,1.29344
-0.719431,-0.8,1.28757
-0.710719,-0.8,1.28E+00
-0.702783,-0.8,1.273
-0.695713,-0.8,1.26447
-0.68959,-0.8,1.25524
-0.684483,-0.8,1.24541
-6.80E-01,-0.8,1.2351
-0.677535,-0.8,1.22441
-0.675773,-0.8,1.21348
-6.75E-01,-0.8,1.20242
-0.675773,-0.8,1.19136
-0.677535,-0.8,1.18042
-0.680449,-0.8,1.16973
-0.684483,-0.8,1.15942
-0.68959,-0.8,1.14959
-0.695713,-0.8,1.14036
-0.702783,-0.8,1.13E+00
-0.710719,-0.8,1.12E+00
-0.719431,-0.8,1.11726
-0.728821,-0.8,1.11139
-0.738782,-0.8,1.10655
-0.749202,-0.8,1.10279
-0.759962,-0.8,1.10016
-0.77094,-0.8,1.09869
-0.782013,-0.8,1.09839
-7.93E-01,-0.8,1.09928
-8.04E-01,-0.8,1.10133
-0.814543,-0.8,1.10453
-0.824748,-0.8,1.10883
-0.834437,-0.8,1.1142
-8.44E-01,-0.8,1.12057
-0.851837,-0.8,1.12786
-0.859351,-0.8,1.14E+00
-0.865956,-0.8,1.14489
-0.871579,-0.8,1.15444
-0.876156,-0.8,1.16452
-0.879635,-0.8,1.18E+00
-0.881976,-0.8,1.18586
-0.883154,-0.8,1.19688
-0.883154,-0.8,1.20795
-8.82E-01,-0.8,1.21897
-0.879635,-0.8,1.22979
-0.876156,-0.8,1.24031
-0.871579,-0.8,1.2504
-0.865956,-0.8,1.25994
-0.859351,-0.8,1.26883
-0.851837,-0.8,1.27697
-0.843501,-0.8,1.28426
-0.834437,-0.8,1.29E+00
-0.824748,-0.8,1.296
-0.814543,-0.8,1.3003
-0.803938,-0.8,1.30E+00
-0.793054,-0.8,1.30555
-0.782013,-0.8,1.30644
-0.77094,-0.8,1.30614
-0.759962,-0.8,1.30467
-7.49E-01,-0.8,1.30204
-0.72855,-0.9,1.32253
-0.716069,-0.9,1.31646
-0.704305,-0.9,1.3091
-0.693389,-0.9,1.30053
-0.683447,-0.9,1.29085
-6.75E-01,-0.9,1.28017
-0.666918,-0.9,1.2686
-0.660519,-0.9,1.25629
-6.55E-01,-0.9,1.24336
-0.651814,-0.9,1.22998
-0.649607,-0.9,1.22E+00
-0.648868,-0.9,1.20242
-0.649607,-0.9,1.18856
-0.651814,-0.9,1.17486
-0.655465,-0.9,1.16147
-0.660519,-0.9,1.14854
-0.666918,-0.9,1.14E+00
-0.674589,-0.9,1.12467
-0.683447,-0.9,1.11398
-6.93E-01,-0.9,1.1043
-0.704305,-0.9,1.09573
-0.716069,-0.9,1.08837
-0.72855,-0.9,1.0823
-0.741604,-0.9,1.07759
-0.755086,-0.9,1.0743
-0.76884,-0.9,1.07246
-0.782713,-0.9,1.07209
-7.97E-01,-0.9,1.0732
-0.810184,-0.9,1.08E+00
-0.823471,-0.9,1.07977
-0.836256,-0.9,1.08517
-0.848396,-0.9,1.09189
-0.859752,-0.9,1.09987
-0.870196,-0.9,1.10901
-0.879609,-0.9,1.11921
-0.887885,-0.9,1.13035
-0.894931,-0.9,1.1423
-9.01E-01,-0.9,1.15E+00
-0.905024,-0.9,1.16811
-0.907957,-0.9,1.18168
-0.909432,-0.9,1.19548
-0.909432,-0.9,1.20935
-0.907957,-0.9,1.22315
-0.905024,-0.9,1.23672
-0.900665,-0.9,1.24989
-0.894931,-0.9,1.26E+00
-0.887885,-0.9,1.27449
-0.879609,-0.9,1.28563
-0.870196,-0.9,1.29582
-8.60E-01,-0.9,1.30496
-0.848396,-0.9,1.31294
-0.836256,-0.9,1.31966
-0.823471,-0.9,1.32506
-0.810184,-0.9,1.32907
-7.97E-01,-0.9,1.33164
-0.782713,-0.9,1.33274
-0.76884,-0.9,1.33238
-0.755086,-0.9,1.33053
-0.741604,-0.9,1.32724
-0.718317,-1,1.34678
-0.703318,-1,1.33948
-0.689179,-1,1.33E+00
-0.67606,-1,1.32034
-0.66411,-1,1.31E+00
-0.653465,-1,1.29586
-0.644245,-1,1.28196
-0.636555,-1,1.26716
-0.630481,-1,1.25163
-0.626093,-1,1.23554
-0.62344,-1,1.21907
-0.622552,-1,1.20242
-0.62344,-1,1.18576
-6.26E-01,-1,1.16929
-6.30E-01,-1,1.1532
-0.636555,-1,1.13767
-0.644245,-1,1.12287
-0.653465,-1,1.10897
-6.64E-01,-1,1.09613
-0.67606,-1,1.0845
-0.689179,-1,1.0742
-0.703318,-1,1.06535
-7.18E-01,-1,1.05806
-0.734007,-1,1.0524
-0.75021,-1,1.04844
-0.766741,-1,1.04623
-0.783414,-1,1.04578
-0.800039,-1,1.04711
-0.816429,-1,1.0502
-0.832398,-1,1.05502
-0.847764,-1,1.0615
-0.862354,-1,1.07E+00
-0.876003,-1,1.08E+00
-0.888555,-1,1.09015
-0.899868,-1,1.10241
-0.909815,-1,1.1158
-0.918282,-1,1.13017
-0.925174,-1,1.14536
-0.930412,-1,1.16119
-0.933938,-1,1.17749
-0.935711,-1,1.19408
-9.36E-01,-1,1.21076
-9.34E-01,-1,1.22734
-0.930412,-1,1.24364
-9.25E-01,-1,1.25948
-0.918282,-1,1.27466
-0.909815,-1,1.28903
-0.899868,-1,1.30242
-0.888555,-1,1.31468
-0.876003,-1,1.32566
-0.862354,-1,1.33525
-0.847764,-1,1.34333
-0.832398,-1,1.35E+00
-0.816429,-1,1.35463
-0.800039,-1,1.35772
-0.783414,-1,1.35905
-0.766741,-1,1.35861
-0.75021,-1,1.36E+00
-0.734007,-1,1.35243
-0.674053,-1.1,1.35217
-0.658731,-1.1,1.34014
-0.644774,-1.1,1.33E+00
-0.632341,-1.1,1.31156
-0.621573,-1.1,1.29532
-0.612591,-1.1,1.27804
-0.605497,-1.1,1.25989
-0.600372,-1.1,1.2411
-0.597273,-1.1,1.22187
-0.596236,-1.1,1.20242
-0.597273,-1.1,1.18296
-0.600372,-1.1,1.16373
-6.05E-01,-1.1,1.14494
-0.612591,-1.1,1.1268
-0.621573,-1.1,1.10951
-0.632341,-1.1,1.09328
-0.644774,-1.1,1.07828
-0.658731,-1.1,1.06469
-0.674053,-1.1,1.05266
-0.690567,-1.1,1.04233
-0.708085,-1.1,1.03381
-0.72641,-1.1,1.0272
-0.745334,-1.1,1.02E+00
-0.764641,-1.1,1.02E+00
-0.784114,-1.1,1.01947
-0.803532,-1.1,1.02E+00
-0.822675,-1.1,1.02464
-0.841325,-1.1,1.03026
-0.859272,-1.1,1.03784
-0.876313,-1.1,1.04728
-0.892253,-1.1,1.05847
-0.906913,-1.1,1.0713
-9.20E-01,-1.1,1.08561
-0.931744,-1.1,1.10125
-0.941633,-1.1,1.11803
-0.949683,-1.1,1.13577
-0.955801,-1.1,1.15427
-0.959919,-1.1,1.17331
-9.62E-01,-1.1,1.19268
-0.961989,-1.1,1.21216
-0.959919,-1.1,1.23153
-0.955801,-1.1,1.25057
-0.949683,-1.1,1.26906
-0.941633,-1.1,1.2868
-0.931744,-1.1,1.30358
-0.920127,-1.1,1.31922
-0.906913,-1.1,1.33353
-0.892253,-1.1,1.34636
-0.876313,-1.1,1.35756
-0.859272,-1.1,1.37E+00
-0.841325,-1.1,1.37457
-0.822675,-1.1,1.38E+00
-0.803532,-1.1,1.3838
-0.784114,-1.1,1.38536
-0.764641,-1.1,1.38484
-0.745333,-1.1,1.38225
-0.72641,-1.1,1.37763
-0.708085,-1.1,1.37102
-0.690567,-1.1,1.3625
-0.807025,-1.2,0.994946
-7.85E-01,-1.2,0.993168
-0.762542,-1.2,0.993762
-0.740458,-1.2,0.996719
-0.718813,-1.2,1.00201
-0.697853,-1.2,1.00957
-0.677815,-1.2,1.01931
-0.658927,-1.2,1.03113
-0.641402,-1.2,1.04489
-0.625438,-1.2,1.06043
-0.611217,-1.2,1.07758
-0.5989,-1.2,1.09615
-0.588627,-1.2,1.12E+00
-0.580513,-1.2,1.14E+00
-0.574651,-1.2,1.15817
-0.571106,-1.2,1.18017
-0.569921,-1.2,1.20242
-0.571106,-1.2,1.22467
-0.574651,-1.2,1.24666
-0.580513,-1.2,1.26816
-0.588627,-1.2,1.28891
-0.5989,-1.2,1.30868
-0.611217,-1.2,1.32725
-0.625438,-1.2,1.3444
-6.41E-01,-1.2,1.35995
-0.658927,-1.2,1.3737
-0.677815,-1.2,1.38552
-6.98E-01,-1.2,1.39527
-0.718813,-1.2,1.40283
-0.740457,-1.2,1.40811
-0.762541,-1.2,1.41107
-0.784815,-1.2,1.41166
-0.807025,-1.2,1.40989
-0.82892,-1.2,1.40576
-0.850253,-1.2,1.39933
-0.87078,-1.2,1.39E+00
-0.890271,-1.2,1.37987
-0.908504,-1.2,1.36706
-0.925272,-1.2,1.35239
-0.940386,-1.2,1.33601
-0.953673,-1.2,1.31813
-0.964985,-1.2,1.30E+00
-0.974192,-1.2,1.27864
-0.98119,-1.2,1.25749
-0.9859,-1.2,1.23571
-0.988268,-1.2,1.21356
-9.88E-01,-1.2,1.19128
-0.9859,-1.2,1.16912
-0.98119,-1.2,1.14734
-0.974192,-1.2,1.12619
-0.964985,-1.2,1.1059
-0.953673,-1.2,1.0867
-0.940386,-1.2,1.06882
-0.925272,-1.2,1.05245
-0.908504,-1.2,1.03777
-8.90E-01,-1.2,1.02497
-0.870781,-1.2,1.01417
-0.850253,-1.2,1.01E+00
-0.82892,-1.2,0.999075
-0.643801,-1.3,1.00959
-0.665064,-1.3,0.996289
-0.687621,-1.3,0.98532
-0.711216,-1.3,0.976811
-0.735582,-1.3,0.970859
-0.760442,-1.3,0.96753
-0.785515,-1.3,0.966862
-0.810518,-1.3,0.968863
-0.835166,-1.3,0.973511
-0.85918,-1.3,0.980752
-0.882289,-1.3,9.91E-01
-0.90423,-1.3,1.00266
-0.924755,-1.3,1.01707
-0.943631,-1.3,1.03359
-0.960644,-1.3,1.05202
-0.975603,-1.3,1.07216
-0.988336,-1.3,1.09377
-0.9987,-1.3,1.12E+00
-1.00658,-1.3,1.14042
-1.01188,-1.3,1.16493
-1.01455,-1.3,1.18988
-1.01455,-1.3,1.21496
-1.01188,-1.3,1.2399
-1.00658,-1.3,1.26441
-0.9987,-1.3,1.28823
-9.88E-01,-1.3,1.31107
-0.975603,-1.3,1.33268
-0.960644,-1.3,1.35281
-9.44E-01,-1.3,1.37124
-0.924755,-1.3,1.38776
-0.90423,-1.3,1.40217
-0.882289,-1.3,1.41433
-0.85918,-1.3,1.42408
-0.835166,-1.3,1.43132
-0.810518,-1.3,1.43597
-0.785515,-1.3,1.43797
-0.760442,-1.3,1.4373
-0.735581,-1.3,1.43397
-0.711216,-1.3,1.42802
-0.687621,-1.3,1.42E+00
-0.665064,-1.3,1.41E+00
-0.643801,-1.3,1.39524
-0.624072,-1.3,1.37975
-0.606102,-1.3,1.36225
-0.590093,-1.3,1.34294
-0.576228,-1.3,1.32204
-0.564663,-1.3,1.29978
-0.555555,-1.3,1.27649
-0.555529,-1.3,1.27642
-0.548929,-1.3,1.25223
-5.45E-01,-1.3,1.22746
-0.543605,-1.3,1.20242
-0.54494,-1.3,1.17737
-0.548929,-1.3,1.15261
-0.555529,-1.3,1.12841
-5.56E-01,-1.3,1.12834
-0.564663,-1.3,1.10505
-0.576228,-1.3,1.08279
-0.590093,-1.3,1.06189
-0.606102,-1.3,1.04258
-0.624072,-1.3,1.02508
-0.628675,-1.4,9.88E-01
-0.652313,-1.4,0.973269
-0.677389,-1.4,0.961075
-0.703619,-1.4,0.951616
-0.730705,-1.4,0.944999
-0.758342,-1.4,0.941298
-0.786216,-1.4,0.940556
-0.81401,-1.4,0.94278
-0.841411,-1.4,0.947947
-0.868107,-1.4,0.955996
-0.893797,-1.4,0.966838
-0.918188,-1.4,9.80E-01
-9.41E-01,-1.4,0.996376
-0.96199,-1.4,1.01474
-0.980903,-1.4,1.03523
-0.997532,-1.4,1.05761
-1.01169,-1.4,1.08163
-1.02321,-1.4,1.10702
-1.03197,-1.4,1.1335
-1.03786,-1.4,1.16075
-1.04082,-1.4,1.18847
-1.04082,-1.4,1.21636
-1.03786,-1.4,1.24408
-1.03197,-1.4,1.27134
-1.02321,-1.4,1.30E+00
-1.01169,-1.4,1.3232
-0.997532,-1.4,1.34722
-0.980903,-1.4,1.36961
-9.62E-01,-1.4,1.39009
-0.941005,-1.4,1.40846
-0.918188,-1.4,1.42448
-0.893797,-1.4,1.43799
-0.868107,-1.4,1.44884
-0.841411,-1.4,1.45689
-0.81401,-1.4,1.46205
-0.786216,-1.4,1.46428
-7.58E-01,-1.4,1.46353
-0.730705,-1.4,1.45983
-0.703619,-1.4,1.45322
-0.677389,-1.4,1.44376
-6.52E-01,-1.4,1.43156
-0.628675,-1.4,1.41677
-0.606743,-1.4,1.39955
-0.586766,-1.4,1.3801
-0.568969,-1.4,1.35864
-0.555555,-1.4,1.34E+00
-0.553555,-1.4,1.3354
-0.540699,-1.4,1.31066
-0.530544,-1.4,1.28469
-0.523208,-1.4,1.25779
-0.518773,-1.4,1.23026
-0.517289,-1.4,1.20242
-0.518773,-1.4,1.17E+00
-0.523208,-1.4,1.15E+00
-0.530544,-1.4,1.12014
-0.540699,-1.4,1.09417
-0.553555,-1.4,1.06943
-0.555555,-1.4,1.06642
-0.568969,-1.4,1.0462
-0.586766,-1.4,1.02473
-0.606743,-1.4,1.00528
-0.847657,-1.5,0.922383
-8.18E-01,-1.5,0.916697
-0.786916,-1.5,0.914249
-0.756243,-1.5,0.915066
-0.725829,-1.5,0.919138
-6.96E-01,-1.5,0.926421
-0.667156,-1.5,0.93683
-0.639561,-1.5,0.950249
-0.613549,-1.5,0.966525
-0.589414,-1.5,0.985473
-0.56743,-1.5,1.00688
-0.555555,-1.5,1.0212
-0.547845,-1.5,1.0305
-0.530883,-1.5,1.05607
-0.516734,-1.5,1.0833
-0.50556,-1.5,1.11188
-0.497487,-1.5,1.14148
-0.492606,-1.5,1.17178
-0.490973,-1.5,1.20E+00
-0.492606,-1.5,1.23306
-0.497487,-1.5,1.26E+00
-0.50556,-1.5,1.29295
-0.516734,-1.5,1.32153
-0.530883,-1.5,1.34876
-0.547845,-1.5,1.37433
-0.555555,-1.5,1.38363
-0.56743,-1.5,1.39795
-0.589414,-1.5,1.41936
-0.613549,-1.5,1.43831
-0.639561,-1.5,1.45458
-0.667156,-1.5,1.468
-0.696021,-1.5,1.47841
-7.26E-01,-1.5,1.48569
-0.756243,-1.5,1.48977
-0.786916,-1.5,1.49058
-0.817503,-1.5,1.48814
-8.48E-01,-1.5,1.48245
-0.877035,-1.5,1.47359
-0.905305,-1.5,1.46166
-0.932147,-1.5,1.44679
-0.957256,-1.5,1.42915
-0.980348,-1.5,1.40895
-1.00116,-1.5,1.3864
-1.01946,-1.5,1.36177
-1.03504,-1.5,1.33534
-1.04772,-1.5,1.31E+00
-1.05736,-1.5,1.27826
-1.06384,-1.5,1.24827
-1.0671,-1.5,1.21776
-1.0671,-1.5,1.18707
-1.06384,-1.5,1.15656
-1.05736,-1.5,1.12657
-1.04772,-1.5,1.10E+00
-1.03504,-1.5,1.0695
-1.01946,-1.5,1.04306
-1.00116,-1.5,1.01843
-0.980348,-1.5,0.995884
-0.957256,-1.5,0.975678
-9.32E-01,-1.5,0.95804
-0.905305,-1.5,0.943172
-0.877035,-1.5,0.931241
-1.04139,-1.6,1.02851
-1.05839,-1.6,1.05736
-1.07223,-1.6,1.08786
-1.08274,-1.6,1.11965
-1.08982,-1.6,1.15238
-1.09338,-1.6,1.18567
-1.09338,-1.6,1.21916
-1.09E+00,-1.6,1.25246
-1.08274,-1.6,1.28518
-1.07223,-1.6,1.31698
-1.05839,-1.6,1.35E+00
-1.04139,-1.6,1.37632
-1.02142,-1.6,1.4032
-9.99E-01,-1.6,1.4278
-0.973506,-1.6,1.44985
-0.946105,-1.6,1.4691
-0.916813,-1.6,1.48533
-0.885962,-1.6,1.49835
-0.853902,-1.6,1.50801
-0.820996,-1.6,1.51422
-0.787617,-1.6,1.51689
-0.754143,-1.6,1.516
-0.720953,-1.6,1.51155
-6.88E-01,-1.6,1.50361
-0.656924,-1.6,1.49225
-0.62681,-1.6,1.4776
-0.598423,-1.6,1.45984
-0.572085,-1.6,1.43916
-0.555555,-1.6,1.42307
-0.548093,-1.6,1.4158
-5.27E-01,-1.6,1.39002
-0.50821,-1.6,1.36212
-0.49277,-1.6,1.33241
-0.480576,-1.6,1.30122
-0.471766,-1.6,1.26891
-0.46644,-1.6,1.23585
-0.464657,-1.6,1.20E+00
-0.46644,-1.6,1.16898
-0.471766,-1.6,1.13592
-0.480576,-1.6,1.10361
-0.49277,-1.6,1.07243
-0.50821,-1.6,1.04271
-0.526721,-1.6,1.01481
-0.548093,-1.6,0.989029
-5.56E-01,-1.6,0.981764
-0.572085,-1.6,0.965669
-0.598423,-1.6,0.94499
-0.62681,-1.6,0.927229
-0.656924,-1.6,0.912585
-6.88E-01,-1.6,0.901225
-0.720953,-1.6,0.893278
-0.754143,-1.6,0.888834
-0.787617,-1.6,0.887943
-0.820996,-1.6,0.890614
-0.853902,-1.6,0.896819
-0.885962,-1.6,0.906486
-0.916813,-1.6,0.919506
-0.946105,-1.6,0.935732
-0.973507,-1.6,0.954979
-0.998707,-1.6,0.97703
-1.02142,-1.6,1.00163
-1.04E+00,-1.7,0.984838
-1.01707,-1.7,9.58E-01
-0.989757,-1.7,0.93428
-0.960064,-1.7,0.913423
-0.928321,-1.7,0.89584
-0.894889,-1.7,0.881731
-0.860147,-1.7,0.871255
-0.824489,-1.7,0.864531
-0.788318,-1.7,0.861636
-0.752043,-1.7,0.862602
-0.716077,-1.7,0.867418
-0.680827,-1.7,0.87603
-0.646692,-1.7,0.88834
-6.14E-01,-1.7,0.904209
-0.583297,-1.7,0.923456
-0.555555,-1.7,0.945236
-0.554755,-1.7,0.945864
-0.528757,-1.7,0.971179
-5.06E-01,-1.7,0.999114
-0.485538,-1.7,1.02935
-0.468806,-1.7,1.06155
-0.455592,-1.7,1.09535
-0.446045,-1.7,1.13036
-0.440273,-1.7,1.16618
-0.438342,-1.7,1.20242
-0.440273,-1.7,1.23865
-0.446045,-1.7,1.27448
-0.455592,-1.7,1.31E+00
-0.468806,-1.7,1.34328
-0.485538,-1.7,1.37548
-5.06E-01,-1.7,1.40572
-0.528757,-1.7,1.43365
-0.554755,-1.7,1.45897
-0.555555,-1.7,1.4596
-0.583297,-1.7,1.48138
-0.614059,-1.7,1.50062
-0.646692,-1.7,1.51649
-0.680827,-1.7,1.5288
-0.716077,-1.7,1.53741
-0.752043,-1.7,1.54223
-0.788317,-1.7,1.5432
-8.24E-01,-1.7,1.5403
-0.860147,-1.7,1.53358
-0.894889,-1.7,1.5231
-0.928321,-1.7,1.50899
-0.960063,-1.7,1.49141
-0.989757,-1.7,1.47055
-1.01707,-1.7,1.44666
-1.04E+00,-1.7,1.41999
-1.06332,-1.7,1.39087
-1.08174,-1.7,1.3596
-1.09674,-1.7,1.32656
-1.10813,-1.7,1.29211
-1.1158,-1.7,1.25664
-1.11966,-1.7,1.22056
-1.11966,-1.7,1.18E+00
-1.1158,-1.7,1.14819
-1.10813,-1.7,1.11272
-1.09674,-1.7,1.07827
-1.08174,-1.7,1.04523
-1.06E+00,-1.7,1.01397
-0.568171,-1.8,1.50291
-0.601307,-1.8,1.52364
-0.63646,-1.8,1.54074
-0.67323,-1.8,1.554
-0.711201,-1.8,1.56327
-0.749944,-1.8,1.56846
-0.789018,-1.8,1.5695
-0.827981,-1.8,1.56638
-0.866393,-1.8,1.55914
-0.903817,-1.8,1.54786
-0.939829,-1.8,1.53266
-0.974022,-1.8,1.51372
-1.00601,-1.8,1.49125
-1.03542,-1.8,1.46551
-1.06194,-1.8,1.43679
-1.08525,-1.8,1.40541
-1.10509,-1.8,1.37174
-1.12124,-1.8,1.34E+00
-1.13352,-1.8,1.29903
-1.14178,-1.8,1.26083
-1.14594,-1.8,1.22196
-1.14594,-1.8,1.18287
-1.14178,-1.8,1.14401
-1.13352,-1.8,1.1058
-1.12124,-1.8,1.06869
-1.10509,-1.8,1.0331
-1.08525,-1.8,0.999419
-1.06194,-1.8,0.968042
-1.03542,-1.8,0.939321
-1.00601,-1.8,0.913581
-0.974022,-1.8,0.891114
-9.40E-01,-1.8,0.872174
