job_title,job_category
"Køkkenassistent søges",1
"Vores kunde i Haderslev søger snedkere (Try & Hire)",2
"Dygtig og stabil snedker søges",2
"Maskinsnedker til kantlimer og gennemløbsboremaskine",2
"Værkmester/elev søges til Enner Mark Fængsel",2
"Skovby Møbelfabrik A/S søger en møbelsnedker/maskinsnedker",2
"Erfaren maskinsnedker søges",2
"Maskinsnedker eller lignende søges",2
"Er du vores nye møbel- eller maskinsnedker?",2
"Aksel Kjersgaard A/S søger snedker",2
"Servicemontør – Vinduer og døre",2
"Er du Snedker med erfaring indenfor møbelbyggeri??",2
"Brænder du for snedkerarbejde i høj kvalitet?",2
træindustriarbejdere,2
"Faglært maskinsnedker, CNC-operatør eller lignende søges med tiltrædelse snarest.",2
"Maskinsnedkere/ tillærte søges til aftenhold",2
"2 medarbejdere til ABC Reoler i produktionen",2
"Maskinsnedker/tillært/CNC Industrioperatør til møbelindustrien",2
"Industrisnedker, industrioperatør eller anden faglig uddannelse - 2-holdsskift",2
"Maskinsnedker/operatør til Frøslev Træ A/S",2
"In-Truck Autopolstring søger en autopolstrer",2
"Faglært maskinsnedker søges",2
"Er du vores nye håndværker?",2
"Trænørd og maskinsnedker søges til Outrups aftenhold",2
"Haniwood søger erfaren snedker",2
"Produktionsmedarbejder søges til træindustrien i Herning området",2
"Søger Køkkensnedker",2
"Maskinsnedker eller træindustriarbejder søges- faglært/Ufaglært",2
Møbelsnedker,2
"Maskinsnedker søges til stilling nær Aabenraa",2
"Underviser til GXUs træværksted (deltid)",2
"Møbelsnedker søges",2
"Keramiker søges",2
"Sikkerhedskonsulenter (2) til Kriminalforsorgen Sjællands sikkerhedsorganisation",3
"Vagt til Horsens",3
"Deltidsvagter til afdeling på Sjælland søges",3
Parkeringsvagt,3
Parkeringsvagt,3
"Fuldtids Parkeringsvagt søges",3
"Servicevagt til Detailbutik i København S ca. 13 timer pr. uge",3
"Servicevagt til Detailbutik i Greve 90 timer pr. måned",3
"To livreddere til Gladsaxe Svømmehal",3
"Livredder til dameafdelingen i Bagsværd Svømmehal",3
"Fagligt dygtige behandlere eller paramedicinere",3
"Bilsynsmedarbejder søges til Albertslund",3
"Friske eksamensvagter søges til Fredericia",3
"Vagt til kulturhistoriske ejendomme",3
"Ansvarsbevidste folketingsbetjente med sikkerhedsmæssig baggrund",3
"IBIZA BEACH BAR søger garderobepersonale",3
"Sikkerhedskonsulenter til Kriminalforsorgens sikkerhedsorganisation i Område Hovedstaden",3
"Butiksdetektiv søges ca. 80-100 timer/måned",3
Vagt,3
"Sikkerhedskonsulent til kriminalforsorgens sikkerhedsorganisation, Områdekontoret i Hobro",3
"Dørmand søges til natklub i Jomfru Ane Gade",3
"Dørmand søges - Køge",3
"Dørmand søges - Helsingør",3
"Dørmand søges - København",3
"Dørmand søges - Slagelse",3
